Project Name : 20150617_BacterialRespiration_a_MEM       Generated On : 18/06/2015, 21:56:47
Start Date/Time: 17/06/2015, 10:24:34
End Date/Time: 17/06/2015, 16:35:03
User Comment : A: HMWF001, HMWF003; B: HMWF004, HMWF005; C: HMWF006, HMWF007; D: HMWF008, Blank
Proj. Created By :admin
SDR Serial No. : S-350
Report : @m01:IDENTIFICATION

Serial number     : SEBX0005000350      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 040

Ref LED current   : 055

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY
Temperature : 23
Sensor Dish : Oxygen [[%] Air Saturation]
Calibration details for Oxygen
Batch No.:  PSt5-1428-01
Phase Angle cal0 : 55.01
Phase Angle cal100 : 48.01
Temperature for cal0 : 22.6
Air Pressure : 975
 
 
Date/Time;             Time/Sec.;             A1;             A2;             A3;             A4;             A5;             A6;             B1;             B2;             B3;             B4;             B5;             B6;             C1;             C2;             C3;             C4;             C5;             C6;             D1;             D2;             D3;             D4;             D5;             D6;;             Temperature;    Error;
17.06.1512:26:27;       7312;           95.91;          78.05;          91.72;          86.16;          94.78;          96.23;          100.96;         100.96;         111.63;         53.15;          49.42;          51.57;          56.34;          48.85;          48.71;          0;              0;              0;              98.67;          101.29;         95.1;           101.95;         108.26;         100.47;         ;               22.87;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1512:31:31;       7616;           95.91;          77.12;          91.56;          85.53;          94.62;          95.91;          101.13;         101.29;         112.13;         52.29;          49.14;          50.57;          55.46;          47.86;          47.72;          0;              0;              0;              98.51;          101.29;         95.42;          102.12;         108.09;         101.13;         ;               22.87;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1512:36:35;       7920;           95.75;          75.89;          91.08;          84.43;          94.45;          95.75;          100.96;         101.13;         111.96;         51;             48.85;          49.42;          54.16;          46.44;          46.44;          0;              0;              0;              97.86;          100.8;          95.26;          101.79;         107.93;         100.96;         ;               22.85;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1512:41:40;       8225;           95.91;          74.82;          90.92;          83.8;           94.78;          95.75;          101.13;         101.13;         112.47;         50;             48.43;          48.43;          53.44;          45.31;          45.31;          0;              0;              0;              97.86;          100.8;          95.1;           101.79;         107.93;         101.46;         ;               22.85;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1512:46:44;       8529;           95.75;          73.75;          90.44;          82.71;          94.62;          95.42;          101.13;         101.29;         112.64;         48.85;          47.29;          47.15;          52.29;          44.19;          44.05;          0;              0;              0;              97.21;          100.64;         95.1;           101.95;         107.93;         101.62;         ;               22.87;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1512:51:49;       8834;           95.91;          72.69;          90.44;          81.92;          94.78;          95.42;          101.29;         101.29;         112.98;         47.86;          46.44;          46.44;          51.28;          43.06;          43.06;          0;              0;              0;              96.88;          100.31;         94.94;          101.62;         108.09;         101.79;         ;               22.87;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1512:56:54;       9139;           95.59;          71.17;          89.96;          80.99;          94.62;          95.1;           101.29;         101.29;         113.15;         47.01;          45.45;          45.45;          50.28;          41.8;           41.8;           0;              0;              0;              96.72;          100.31;         94.94;          101.79;         107.93;         101.95;         ;               22.87;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1513:01:58;       9443;           95.59;          70.11;          89.8;           80.21;          94.78;          95.26;          101.29;         101.29;         113.32;         46.3;           45.17;          44.75;          49.28;          40.69;          40.97;          0;              0;              0;              96.4;           99.98;          94.94;          101.79;         108.09;         102.28;         ;               22.87;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1513:07:03;       9748;           95.59;          69.06;          89.65;          79.44;          94.78;          95.1;           101.46;         101.29;         113.83;         45.59;          44.75;          44.05;          48.57;          39.72;          39.85;          0;              0;              0;              95.91;          99.98;          94.94;          101.46;         107.93;         102.28;         ;               22.87;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1513:12:08;       10053;          95.42;          67.55;          89.33;          78.36;          94.78;          94.94;          101.29;         101.46;         114;            45.03;          44.19;          43.2;           47.58;          38.61;          38.75;          0;              0;              0;              95.59;          99.65;          94.78;          101.62;         107.93;         102.28;         ;               22.89;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1513:17:12;       10357;          95.26;          66.06;          88.85;          77.43;          94.62;          94.78;          101.46;         101.29;         114;            44.33;          43.76;          42.64;          46.73;          37.5;           37.64;          0;              0;              0;              95.1;           99.49;          94.94;          101.79;         108.09;         102.61;         ;               22.87;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1513:22:17;       10662;          95.1;           64.72;          88.53;          76.35;          94.45;          94.62;          101.46;         101.46;         114.34;         43.91;          43.06;          41.8;           45.74;          36.54;          36.54;          0;              0;              0;              94.62;          99.33;          94.94;          101.79;         108.26;         102.45;         ;               22.89;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
